example_id,conversation_id,intent,customer_inquiry,drafted_reply,relevance,groundedness,helpfulness,factual_integrity,brand_consistency,tone,human_notes
golden_059,apple_464743,APPLE_ID_ACCOUNT_SECURITY,"@AppleSupport OK/Accept button is disabled in the touch bar running on macOS Sierra , after entering Apple ID password for downloading apps from App Store. https://t.co/ueS9luWEE5",@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_067,apple_2002508,APPLE_ID_ACCOUNT_SECURITY,@AppleSupport don’t know how to get help with this: I continuously have to log in with my Apple ID and password in “environment: Sandbox”. What is this and how do I get rid of it? It’s very annoying using navigation.,@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_051,apple_889079,APPLE_ID_ACCOUNT_SECURITY,"Hi @AppleSupport, please open up iPhone #NFC to support FIDO #U2F #2FA...cc @67 @331078",@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_074,apple_1092514,APPLE_ID_ACCOUNT_SECURITY,@AppleSupport iCloud music on but won’t load on daughters iMac desktop. Says ‘We couldn’t make your iCloud Music Library available’. Help 😬,@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_062,apple_2744229,APPLE_ID_ACCOUNT_SECURITY,"@115858 after the last update, it messed up my Apple ID and won’t accept my password wth do I do now🤦🏻‍♀️",@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_134,apple_589545,APP_STORE_BILLING_SUBSCRIPTIONS,Why my phone charge so damn slow @115858,@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_142,apple_2185275,APP_STORE_BILLING_SUBSCRIPTIONS,@115858 @AppleSupport A week ago I bought this charger in the apple store of Georgetown. It’s the second time I used it and the charger plug broke.,@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_126,apple_486244,APP_STORE_BILLING_SUBSCRIPTIONS,Please find below receipt of purchase and the screenshot from iTunes Store asking for another £7.99 to purchase same film again. @AppleSupport @118721 Please have my purchase restore immediately https://t.co/eoOpVHUFri,@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_149,apple_1851436,APP_STORE_BILLING_SUBSCRIPTIONS,"Hey @115858 you should be embarrassed by iOS 11, my IP6s+ is now so slow it's unusable and I have to charge 3x a day! Why should I buy a new1",@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_137,apple_2652588,APP_STORE_BILLING_SUBSCRIPTIONS,"@115858 I just wanna kno why THE FUCK MY PHONE WILL BE TOTALLY OKAY WITH A CHARGER AND THEN OUTTA NO WHERE, ALL OF AH SUDDEN, IT DECIDES THAT IT DOESNT FUCKIN SUPPORT IT??????????????????? My next phone will definitely be an android, I’m sick of your shit",@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_084,apple_2341888,AUDIO_CONNECTIVITY_BLUETOOTH,@AppleSupport my iPhone X front speaker sounds like it’s screaming out its lungs when I’m playing music at full volume (crackling vibration) since the first day. On iOS 11.1.1. Any advise?,@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_092,apple_2220894,AUDIO_CONNECTIVITY_BLUETOOTH,"@AppleSupport Just tested using a default alarm sound. Doesn't care about that other, whether or not you max out the volume.",@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_076,apple_1871924,AUDIO_CONNECTIVITY_BLUETOOTH,@AppleSupport When connected to a sucky WiFi network everything stops working instead of switching to LTE,@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_099,apple_1346200,AUDIO_CONNECTIVITY_BLUETOOTH,"Wish I hadn't updated my phone because now it refuses to connect to Bluetooth. Thanks, @115858",@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
golden_087,apple_246527,AUDIO_CONNECTIVITY_BLUETOOTH,"@AppleSupport why my iPhone do some weirds “beeps” when someone send me a text? I mean not the normal sound, do two doble beeps!?",@592809 We'd like to look into this with you to see how we can help. Which iOS version do you have installed? Let us know in DM: https://t.co/GDrqU22YpT,3,2,3,5,4,4,Human Review: Authentic Apple Support voice (4/5). Grounding is 2/5 due to retrieval similarity (0.00). Helpfulness rated 3/5; requests diagnostic details prior to resolution.
