example_id,conversation_id,customer_inquiry,true_intent,true_escalation_decision,escalation_rationale,ground_truth_brand_reply,is_ambiguous,message_length_chars,turn_count
golden_001,apple_1735048,#iOS 11.1 bug verified @115858 https://t.co/uBmIpA9EOw,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@325936 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,False,54,2
golden_002,apple_2320079,"@AppleSupport my iphone 7 plus stuck in apple logo screen, it's iOS 11.1 . Is there any permanent fix?",SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,"@672414 We're glad that you came to us for support, and we're happy to help. Check out the steps in the following article and let us know if it helps: https://t.co/8MvHMFZ83h",False,102,2
golden_003,apple_1761297,@AppleSupport @115858 your new iOS is making me dizzy!!! 📱 https://t.co/VKOCsg4otp,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@530042 We have some information that you might find helpful: https://t.co/cJnvksGVxP,False,82,2
golden_004,apple_961672,@AppleSupport After 11.0.3 update my FB app opens but won’t load! And now I can’t livestream for my business... How do I fix this problem?!,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@348203 We can help. Follow these steps and let us know what happens: https://t.co/fUZ0NRJxcn Questions? DM us. https://t.co/GDrqU22YpT,False,139,2
golden_005,apple_1145161,Thank you @AppleSupport for messing up my phone 7s with your newest update. It was purring like a kitten until yesterday. #tinkerman,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@389521 We'd like to help! Send us a DM with the country that you are located in to proceed. https://t.co/GDrqU22YpT,False,132,2
golden_006,apple_2282212,"@AppleSupport My iPhone X is having consistent GPS drift/lag issues. Can I expect a software update, or shall I look at getting a replacement?",SOFTWARE_UPDATE_OS,ESCALATE,Legal escalation trigger requires human management oversight.,"@663344 We want to help you with your iPhone X. DM us, and we'll look into what's going on. https://t.co/GDrqU22YpT",False,142,2
golden_007,apple_1755192,@AppleSupport I️ can’t deal with this I️ situation any longer. I️ hate iOS. I️ hate it.,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@528599 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsGFo7,False,87,2
golden_008,apple_1202863,"@115858 Your new update is buggy, plus alarms don’t got off if phones are on vibrate!!!!!",SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,"@402591 We want your iPhone to function normally. Tell us which version of iOS 11 it's on, and we’ll help out.",False,89,2
golden_009,apple_2980714,@822111 @115858 Exactly ever since i updated my phone the troubles started &amp; that’s how Apple sabotages your phone to make u get a new one,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,"@822110 We hear you're having issues with your iPhone after updating. That's certainly not what we want and would love to help get it working the way you expect. DM us more details about what's going on, including the model and the exact version of iOS, and we'll get started. https://t.co/GDrqU22YpT",False,142,2
golden_010,apple_2870753,@AppleSupport Its the latest version ios 11.1.2 and on safari,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,"@797134 Thanks, does it happen with all videos, or just those on a particular website?",False,61,2
golden_011,apple_369635,@AppleSupport I have powered down the device (iPhone 7+) and restated. After the last update I noticed,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@203571 Does this happen everytime you use multi-tasking to view your open apps? Does restarting seem to help each time? DM us here: https://t.co/GDrqU22YpT,False,102,2
golden_012,apple_1447311,@AppleSupport bro fix this shit &amp; my phone slow with this dumb ass update,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@455844 Let's partner together in DM and discuss each issue. You can reach us at the link below. https://t.co/GDrqU22YpT,False,77,2
golden_013,apple_2402248,"@AppleSupport WTF is this bull****, I'm so angry righ now, every f** time i wanna download a app it tells me you need to switch up to US store, when i switch I can't f** download the app, why why i cant get the apps that i want when am paying 1000$ and can use full version of it",SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@691135 Thanks for reaching out. What country are you currently located in? App availability does vary by region and country.,False,279,2
golden_014,apple_2852321,@AppleSupport should I be bypassing object garbage collection in macOS and iOS?,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@222731 Thanks for reaching out. DM us more info about what you're doing and we'll get you to the right spot. https://t.co/GDrqU22YpT,False,79,2
golden_015,apple_1967604,Updated my iPhone and my Hotspot still won’t work anymore. @AppleSupport Growing tired of these issues with iPhones.,SOFTWARE_UPDATE_OS,ESCALATE,Legal escalation trigger requires human management oversight.,@248428 Let's work through the issues with your Hotspot together. DM us with what type of iPhone you're using to begin. https://t.co/GDrqU22YpT,False,116,2
golden_016,apple_2548165,We have been loyal apple customers but not being able to share a photo since the last update is taking the biscuit @115858 #reconsidering,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,@724112 We'd like to know more about the trouble you're having sharing photos. We can help look into this with you.,False,137,2
golden_017,apple_1079192,Ugh @AppleSupport @115858 the new iOS is so damn glitchy,SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,"@374568 Thanks for contacting us, we're here for you. What's going on with your iOS device?",False,56,2
golden_018,apple_2945728,"@115858 #iOS11 #iPhone says ""-0:08"" in recorded video's time display in #photos app 🙄 #UserExperience #userinterface #uxdesign #uidesign #designthinking #DesigningForHumans @AppleSupport https://t.co/l7rgM6wjrX",SOFTWARE_UPDATE_OS,AUTO_HANDLE,Standard technical troubleshooting procedure exists in historical Knowledge Base.,"@257653 We'll point you in the right direction. For help with the Photos app, connect with an Advisor who specializes in Photos here: https://t.co/IBIY3vMgPj You'll want to select Apps &amp; Software &gt; iOS Apps &gt; Photos for iOS.",False,210,2
